w	up_1	down_1	cumul_up_1	cumul_down_1	
3.6125	0.035278	0.0879309	0.583951	0.796483
3.65	0.0385747	0.0860537	0.585397	0.79971
3.6875	0.0434148	0.0842589	0.587025	0.80287
3.725	0.0499734	0.0825663	0.588899	0.805966
3.7625	0.058197	0.0810295	0.591082	0.809005
3.8	0.0676212	0.079734	0.593617	0.811995
3.8375	0.0776608	0.0787717	0.59653	0.814949
3.875	0.0882944	0.0780878	0.599841	0.817877
3.9125	0.0997339	0.0774568	0.603581	0.820782
3.95	0.110946	0.0766547	0.607741	0.823656
3.9875	0.119398	0.0756229	0.612219	0.826492
4.025	0.123121	0.0744401	0.616836	0.829283
4.0625	0.122586	0.0732075	0.621433	0.832029
4.1	0.119983	0.0719891	0.625932	0.834728
4.1375	0.117417	0.0708154	0.630335	0.837384
4.175	0.116213	0.0697007	0.634693	0.839998
4.2125	0.11712	0.0686517	0.639085	0.842572
4.25	0.120584	0.0676721	0.643607	0.84511
4.2875	0.126724	0.0667502	0.648359	0.847613
4.325	0.135102	0.0658403	0.653426	0.850082
4.3625	0.14465	0.0648546	0.65885	0.852514
4.4	0.15394	0.063733	0.664623	0.854904
4.4375	0.161201	0.0625853	0.670668	0.857251
4.475	0.164688	0.0616636	0.676844	0.859563
4.5125	0.163998	0.0611058	0.682993	0.861855
4.55	0.160251	0.0608581	0.689003	0.864137
4.5875	0.154922	0.060848	0.694812	0.866419
4.625	0.149073	0.0610781	0.700403	0.868709
4.6625	0.143277	0.0615716	0.705776	0.871018
4.7	0.137802	0.0622578	0.710943	0.873353
4.7375	0.132755	0.0629088	0.715921	0.875712
4.775	0.128181	0.0632558	0.720728	0.878084
4.8125	0.124124	0.0632144	0.725383	0.880455
4.85	0.120664	0.0629563	0.729908	0.882815
4.8875	0.11794	0.0627327	0.73433	0.885168
4.925	0.116092	0.0626819	0.738684	0.887518
4.9625	0.115047	0.0629557	0.742998	0.889879
5	0.114307	0.0638431	0.747285	0.892273
5.0375	0.113194	0.0654274	0.751529	0.894727
5.075	0.111411	0.0672414	0.755707	0.897248
5.1125	0.109137	0.0684675	0.7598	0.899816
5.15	0.106665	0.0684891	0.7638	0.902384
5.1875	0.104193	0.0673096	0.767707	0.904908
5.225	0.101799	0.0654455	0.771525	0.907363
5.2625	0.0995168	0.0635085	0.775257	0.909744
5.3	0.0973851	0.0619712	0.778908	0.912068
5.3375	0.0954487	0.0611828	0.782488	0.914362
5.375	0.0937116	0.0614446	0.786002	0.916667
5.4125	0.0921042	0.0630165	0.789456	0.91903
5.45	0.0905434	0.0659844	0.792851	0.921504
5.4875	0.0889973	0.0699934	0.796189	0.924129
5.525	0.0874748	0.0741014	0.799469	0.926908
5.5625	0.0859855	0.077202	0.802693	0.929803
5.6	0.0845413	0.0789276	0.805864	0.932763
5.6375	0.0831362	0.0800881	0.808981	0.935766
5.675	0.0817556	0.0819525	0.812047	0.938839
5.7125	0.0803891	0.0849507	0.815062	0.942025
5.75	0.0790396	0.0883433	0.818026	0.945338
5.7875	0.0777148	0.090967	0.82094	0.948749
5.825	0.0764197	0.0915203	0.823806	0.952181
5.8625	0.0751546	0.088589	0.826624	0.955503
5.9	0.0739184	0.0815249	0.829396	0.95856
5.9375	0.072707	0.0712307	0.832123	0.961231
5.975	0.0715111	0.0597571	0.834804	0.963472
6.0125	0.070334	0.0490555	0.837442	0.965312
6.05	0.0692422	0.0401002	0.840038	0.966816
6.0875	0.0683401	0.0330119	0.842601	0.968054
6.125	0.0676323	0.0275364	0.845137	0.969086
6.1625	0.0670109	0.0233356	0.84765	0.969961
6.2	0.0663779	0.0201033	0.850139	0.970715
6.2375	0.0656824	0.017599	0.852602	0.971375
6.275	0.0648797	0.0156474	0.855035	0.971962
6.3125	0.0639282	0.0141259	0.857433	0.972492
6.35	0.0628305	0.0129511	0.859789	0.972977
6.3875	0.0616296	0.0120642	0.8621	0.97343
6.425	0.0603572	0.0114144	0.864363	0.973858
6.4625	0.0590133	0.0109442	0.866576	0.974268
6.5	0.057583	0.0106007	0.868736	0.974666
6.5375	0.0560747	0.0103675	0.870839	0.975054
6.575	0.0545745	0.0102397	0.872885	0.975438
6.6125	0.0532711	0.0101295	0.874883	0.975818
6.65	0.0523319	0.00984838	0.876845	0.976188
6.6875	0.051712	0.00927184	0.878784	0.976535
6.725	0.0512365	0.00849252	0.880706	0.976854
6.7625	0.0508881	0.00770422	0.882614	0.977143
6.8	0.0509302	0.00702927	0.884524	0.977406
6.8375	0.0517354	0.0064935	0.886464	0.97765
6.875	0.053459	0.0060666	0.888469	0.977877
6.9125	0.055922	0.00569784	0.890566	0.978091
6.95	0.0587637	0.00535285	0.892769	0.978292
6.9875	0.061631	0.00503392	0.895081	0.97848
7.025	0.0642631	0.00475889	0.89749	0.978659
7.0625	0.0663692	0.00453435	0.899979	0.978829
7.1	0.0675115	0.00434818	0.902511	0.978992
7.1375	0.0673316	0.00417418	0.905036	0.979148
7.175	0.0658912	0.00399041	0.907507	0.979298
7.2125	0.063628	0.00379895	0.909893	0.979441
7.25	0.0610322	0.00361773	0.912182	0.979576
7.2875	0.0584612	0.00346021	0.914374	0.979706
7.325	0.0561554	0.00333063	0.91648	0.979831
7.3625	0.0543293	0.00322871	0.918517	0.979952
7.4	0.0532822	0.00315376	0.920515	0.98007
7.4375	0.0534776	0.00310647	0.922521	0.980187
7.475	0.0554661	0.00308964	0.924601	0.980303
7.5125	0.0595782	0.00310817	0.926835	0.980419
7.55	0.0656078	0.0031683	0.929295	0.980538
7.5875	0.0727958	0.00327408	0.932025	0.980661
7.625	0.0800632	0.0034186	0.935027	0.980789
7.6625	0.0862852	0.00357315	0.938263	0.980923
7.7	0.0907665	0.00369542	0.941667	0.981062
7.7375	0.0936177	0.00376553	0.945177	0.981203
7.775	0.0949998	0.00379277	0.94874	0.981345
7.8125	0.0940453	0.0037634	0.952267	0.981486
7.85	0.0894108	0.00362799	0.955619	0.981622
7.8875	0.0809228	0.00337722	0.958654	0.981749
7.925	0.0702037	0.00307397	0.961287	0.981864
7.9625	0.0596571	0.00278749	0.963524	0.981969
8	0.0510216	0.00254888	0.965437	0.982064
8.0375	0.0448549	0.00236026	0.967119	0.982153
8.075	0.0408249	0.00221313	0.96865	0.982236
8.1125	0.0380351	0.00209795	0.970076	0.982314
8.15	0.0353581	0.00200706	0.971402	0.98239
